mlp
2024-08-18 16:15:28.236549: Remain 348 Samples, max category conditions [33], timestep  999
2024-08-18 16:15:28.858520: Remain 348 Samples, max category conditions [33], timestep  998
2024-08-18 16:15:40.401186: Remain 348 Samples, max category conditions [33], timestep  866
2024-08-18 16:15:40.487798: Remain 348 Samples, max category conditions [33], timestep  865
2024-08-18 16:15:40.574415: Remain 348 Samples, max category conditions [33], timestep  864
2024-08-18 16:15:40.658379: Remain 348 Samples, max category conditions [33], timestep  863
2024-08-18 16:15:40.744922: Remain 348 Samples, max category conditions [33], timestep  862
2024-08-18 16:15:40.830529: Remain 348 Samples, max category conditions [33], timestep  861
2024-08-18 16:15:40.916117: Remain 348 Samples, max category conditions [33], timestep  860
2024-08-18 16:15:41.001725: Remain 348 Samples, max category conditions [33], timestep  859
2024-08-18 16:15:41.089201: Remain 348 Samples, max category conditions [33], timestep  858
2024-08-18 16:15:41.174744: Remain 348 Samples, max category conditions [33], timestep  857
2024-08-18 16:15:41.259783: Remain 348 Samples, max category conditions [33], timestep  856
2024-08-18 16:15:41.346285: Remain 348 Samples, max category conditions [33], timestep  855
2024-08-18 16:15:41.431892: Remain 348 Samples, max category conditions [33], timestep  854
2024-08-18 16:15:41.517442: Remain 348 Samples, max category conditions [33], timestep  853
2024-08-18 16:15:41.604023: Remain 348 Samples, max category conditions [33], timestep  852
2024-08-18 16:15:41.690570: Remain 348 Samples, max category conditions [33], timestep  851
2024-08-18 16:15:41.775211: Remain 348 Samples, max category conditions [33], timestep  850
2024-08-18 16:15:41.861181: Remain 348 Samples, max category conditions [33], timestep  849
2024-08-18 16:15:41.947721: Remain 348 Samples, max category conditions [33], timestep  848
2024-08-18 16:15:42.033262: Remain 348 Samples, max category conditions [33], timestep  847
2024-08-18 16:15:42.118759: Remain 348 Samples, max category conditions [33], timestep  846
2024-08-18 16:15:42.204284: Remain 348 Samples, max category conditions [33], timestep  845
2024-08-18 16:15:42.289909: Remain 348 Samples, max category conditions [33], timestep  844
2024-08-18 16:15:42.375059: Remain 348 Samples, max category conditions [33], timestep  843
2024-08-18 16:15:42.461064: Remain 348 Samples, max category conditions [33], timestep  842
2024-08-18 16:15:42.546477: Remain 348 Samples, max category conditions [33], timestep  841
2024-08-18 16:15:42.634049: Remain 348 Samples, max category conditions [33], timestep  840
2024-08-18 16:15:42.721660: Remain 348 Samples, max category conditions [33], timestep  839
2024-08-18 16:15:42.807198: Remain 348 Samples, max category conditions [33], timestep  838
2024-08-18 16:15:42.892773: Remain 348 Samples, max category conditions [33], timestep  837
2024-08-18 16:15:42.978387: Remain 348 Samples, max category conditions [33], timestep  836
2024-08-18 16:15:43.063863: Remain 348 Samples, max category conditions [33], timestep  835
2024-08-18 16:15:43.148866: Remain 348 Samples, max category conditions [33], timestep  834
2024-08-18 16:15:43.234951: Remain 348 Samples, max category conditions [33], timestep  833
2024-08-18 16:15:43.319574: Remain 348 Samples, max category conditions [33], timestep  832
2024-08-18 16:15:43.405140: Remain 348 Samples, max category conditions [33], timestep  831
2024-08-18 16:15:43.490750: Remain 348 Samples, max category conditions [33], timestep  830
2024-08-18 16:15:43.577300: Remain 348 Samples, max category conditions [33], timestep  829
2024-08-18 16:15:43.663264: Remain 348 Samples, max category conditions [33], timestep  828
2024-08-18 16:15:43.748800: Remain 348 Samples, max category conditions [33], timestep  827
2024-08-18 16:15:43.836408: Remain 348 Samples, max category conditions [33], timestep  826
2024-08-18 16:15:43.923017: Remain 348 Samples, max category conditions [33], timestep  825
2024-08-18 16:15:44.008597: Remain 348 Samples, max category conditions [33], timestep  824
2024-08-18 16:15:44.093169: Remain 348 Samples, max category conditions [33], timestep  823
2024-08-18 16:15:44.179774: Remain 348 Samples, max category conditions [33], timestep  822
2024-08-18 16:15:44.265353: Remain 348 Samples, max category conditions [33], timestep  821
2024-08-18 16:15:44.351427: Remain 348 Samples, max category conditions [33], timestep  820
2024-08-18 16:15:44.436999: Remain 348 Samples, max category conditions [33], timestep  819
2024-08-18 16:15:44.522550: Remain 348 Samples, max category conditions [33], timestep  818
2024-08-18 16:15:44.608209: Remain 348 Samples, max category conditions [33], timestep  817
2024-08-18 16:15:44.693737: Remain 348 Samples, max category conditions [33], timestep  816
2024-08-18 16:15:44.779380: Remain 348 Samples, max category conditions [33], timestep  815
2024-08-18 16:15:44.865948: Remain 348 Samples, max category conditions [33], timestep  814
2024-08-18 16:15:44.951019: Remain 348 Samples, max category conditions [33], timestep  813
2024-08-18 16:15:45.036589: Remain 348 Samples, max category conditions [33], timestep  812
2024-08-18 16:15:45.122097: Remain 348 Samples, max category conditions [33], timestep  811
2024-08-18 16:15:45.210659: Remain 348 Samples, max category conditions [33], timestep  810
2024-08-18 16:15:45.296270: Remain 348 Samples, max category conditions [33], timestep  809
2024-08-18 16:15:45.382879: Remain 348 Samples, max category conditions [33], timestep  808
2024-08-18 16:15:45.469073: Remain 348 Samples, max category conditions [33], timestep  807
2024-08-18 16:15:45.554067: Remain 348 Samples, max category conditions [33], timestep  806
2024-08-18 16:15:45.639643: Remain 348 Samples, max category conditions [33], timestep  805
2024-08-18 16:15:45.725213: Remain 348 Samples, max category conditions [33], timestep  804
2024-08-18 16:15:45.809794: Remain 348 Samples, max category conditions [33], timestep  803
2024-08-18 16:15:45.896434: Remain 348 Samples, max category conditions [33], timestep  802
2024-08-18 16:15:45.982045: Remain 348 Samples, max category conditions [33], timestep  801
2024-08-18 16:15:46.067614: Remain 348 Samples, max category conditions [33], timestep  800
2024-08-18 16:15:46.153619: Remain 348 Samples, max category conditions [33], timestep  799
2024-08-18 16:15:46.239224: Remain 348 Samples, max category conditions [33], timestep  798
2024-08-18 16:15:46.324827: Remain 348 Samples, max category conditions [33], timestep  797
2024-08-18 16:15:46.410404: Remain 348 Samples, max category conditions [33], timestep  796
2024-08-18 16:15:46.496040: Remain 348 Samples, max category conditions [33], timestep  795
2024-08-18 16:15:46.582655: Remain 348 Samples, max category conditions [33], timestep  794
2024-08-18 16:15:46.667766: Remain 348 Samples, max category conditions [33], timestep  793
2024-08-18 16:15:46.753838: Remain 348 Samples, max category conditions [33], timestep  792
2024-08-18 16:15:46.839345: Remain 348 Samples, max category conditions [33], timestep  791
2024-08-18 16:15:46.924919: Remain 348 Samples, max category conditions [33], timestep  790
2024-08-18 16:15:47.010554: Remain 348 Samples, max category conditions [33], timestep  789
2024-08-18 16:15:47.098099: Remain 348 Samples, max category conditions [33], timestep  788
2024-08-18 16:15:47.184737: Remain 348 Samples, max category conditions [33], timestep  787
2024-08-18 16:15:47.270009: Remain 348 Samples, max category conditions [33], timestep  786
2024-08-18 16:15:47.355020: Remain 348 Samples, max category conditions [33], timestep  785
2024-08-18 16:15:47.440593: Remain 348 Samples, max category conditions [33], timestep  784
2024-08-18 16:15:47.527105: Remain 348 Samples, max category conditions [33], timestep  783
2024-08-18 16:15:47.612677: Remain 348 Samples, max category conditions [33], timestep  782
2024-08-18 16:15:47.698256: Remain 348 Samples, max category conditions [33], timestep  781
2024-08-18 16:15:47.783864: Remain 348 Samples, max category conditions [33], timestep  780
2024-08-18 16:15:47.871442: Remain 348 Samples, max category conditions [33], timestep  779
2024-08-18 16:15:47.956485: Remain 348 Samples, max category conditions [33], timestep  778
2024-08-18 16:15:48.042065: Remain 348 Samples, max category conditions [33], timestep  777
2024-08-18 16:15:48.128697: Remain 348 Samples, max category conditions [33], timestep  776
2024-08-18 16:15:48.214256: Remain 348 Samples, max category conditions [33], timestep  775
2024-08-18 16:15:48.299862: Remain 348 Samples, max category conditions [33], timestep  774
2024-08-18 16:15:48.385403: Remain 348 Samples, max category conditions [33], timestep  773
2024-08-18 16:15:48.471004: Remain 348 Samples, max category conditions [33], timestep  772
2024-08-18 16:15:48.556040: Remain 348 Samples, max category conditions [33], timestep  771
2024-08-18 16:15:48.641583: Remain 348 Samples, max category conditions [33], timestep  770
2024-08-18 16:15:48.727197: Remain 348 Samples, max category conditions [33], timestep  769
2024-08-18 16:15:48.812697: Remain 348 Samples, max category conditions [33], timestep  768
2024-08-18 16:15:48.898307: Remain 348 Samples, max category conditions [33], timestep  767
2024-08-18 16:15:48.983453: Remain 348 Samples, max category conditions [33], timestep  766
2024-08-18 16:15:49.070630: Remain 348 Samples, max category conditions [33], timestep  765
2024-08-18 16:15:49.156601: Remain 348 Samples, max category conditions [33], timestep  764
2024-08-18 16:15:49.241995: Remain 348 Samples, max category conditions [33], timestep  763
2024-08-18 16:15:49.328602: Remain 348 Samples, max category conditions [33], timestep  762
2024-08-18 16:15:49.414238: Remain 348 Samples, max category conditions [33], timestep  761
2024-08-18 16:15:49.500780: Remain 348 Samples, max category conditions [33], timestep  760
2024-08-18 16:15:49.585387: Remain 348 Samples, max category conditions [33], timestep  759
2024-08-18 16:15:49.671863: Remain 348 Samples, max category conditions [33], timestep  758
2024-08-18 16:15:49.756929: Remain 348 Samples, max category conditions [33], timestep  757
2024-08-18 16:15:49.843404: Remain 348 Samples, max category conditions [33], timestep  756
2024-08-18 16:15:49.929008: Remain 348 Samples, max category conditions [33], timestep  755
2024-08-18 16:15:50.014585: Remain 348 Samples, max category conditions [33], timestep  754
2024-08-18 16:15:50.100232: Remain 348 Samples, max category conditions [33], timestep  753
2024-08-18 16:15:50.185831: Remain 348 Samples, max category conditions [33], timestep  752
2024-08-18 16:15:50.271379: Remain 348 Samples, max category conditions [33], timestep  751
2024-08-18 16:15:50.358438: Remain 348 Samples, max category conditions [33], timestep  750
2024-08-18 16:15:50.445599: Remain 348 Samples, max category conditions [33], timestep  749
2024-08-18 16:15:50.532180: Remain 348 Samples, max category conditions [33], timestep  748
2024-08-18 16:15:50.617723: Remain 348 Samples, max category conditions [33], timestep  747
2024-08-18 16:15:50.703328: Remain 348 Samples, max category conditions [33], timestep  746
2024-08-18 16:15:50.788934: Remain 348 Samples, max category conditions [33], timestep  745
2024-08-18 16:15:50.874409: Remain 348 Samples, max category conditions [33], timestep  744
2024-08-18 16:15:50.959413: Remain 348 Samples, max category conditions [33], timestep  743
2024-08-18 16:15:51.045918: Remain 348 Samples, max category conditions [33], timestep  742
2024-08-18 16:15:51.131565: Remain 348 Samples, max category conditions [33], timestep  741
2024-08-18 16:15:51.217349: Remain 348 Samples, max category conditions [33], timestep  740
2024-08-18 16:15:51.301928: Remain 348 Samples, max category conditions [33], timestep  739
2024-08-18 16:15:51.387500: Remain 348 Samples, max category conditions [33], timestep  738
2024-08-18 16:15:51.473112: Remain 348 Samples, max category conditions [33], timestep  737
2024-08-18 16:15:51.559147: Remain 348 Samples, max category conditions [33], timestep  736
2024-08-18 16:15:51.645686: Remain 348 Samples, max category conditions [33], timestep  735
2024-08-18 16:15:51.731297: Remain 348 Samples, max category conditions [33], timestep  734
2024-08-18 16:15:51.815934: Remain 348 Samples, max category conditions [33], timestep  733
2024-08-18 16:15:51.903510: Remain 348 Samples, max category conditions [33], timestep  732
2024-08-18 16:15:51.989083: Remain 348 Samples, max category conditions [33], timestep  731
2024-08-18 16:15:52.074726: Remain 348 Samples, max category conditions [33], timestep  730
2024-08-18 16:15:52.160699: Remain 348 Samples, max category conditions [33], timestep  729
2024-08-18 16:15:52.246254: Remain 348 Samples, max category conditions [33], timestep  728
2024-08-18 16:15:52.331780: Remain 348 Samples, max category conditions [33], timestep  727
2024-08-18 16:15:52.417327: Remain 348 Samples, max category conditions [33], timestep  726
2024-08-18 16:15:52.502954: Remain 348 Samples, max category conditions [33], timestep  725
2024-08-18 16:15:52.587531: Remain 348 Samples, max category conditions [33], timestep  724
2024-08-18 16:15:52.673089: Remain 348 Samples, max category conditions [33], timestep  723
2024-08-18 16:15:52.759431: Remain 348 Samples, max category conditions [33], timestep  722
2024-08-18 16:15:52.844968: Remain 348 Samples, max category conditions [33], timestep  721
2024-08-18 16:15:52.931587: Remain 348 Samples, max category conditions [33], timestep  720
2024-08-18 16:15:53.016188: Remain 348 Samples, max category conditions [33], timestep  719
2024-08-18 16:15:53.102771: Remain 348 Samples, max category conditions [33], timestep  718
2024-08-18 16:15:53.187315: Remain 348 Samples, max category conditions [33], timestep  717
2024-08-18 16:15:53.272818: Remain 348 Samples, max category conditions [33], timestep  716
2024-08-18 16:15:53.359860: Remain 348 Samples, max category conditions [33], timestep  715
2024-08-18 16:15:53.445367: Remain 348 Samples, max category conditions [33], timestep  714
2024-08-18 16:15:53.531546: Remain 348 Samples, max category conditions [33], timestep  713
2024-08-18 16:15:53.617086: Remain 348 Samples, max category conditions [33], timestep  712
2024-08-18 16:15:53.702698: Remain 348 Samples, max category conditions [33], timestep  711
2024-08-18 16:15:53.790323: Remain 348 Samples, max category conditions [33], timestep  710
2024-08-18 16:15:53.875930: Remain 348 Samples, max category conditions [33], timestep  709
2024-08-18 16:15:53.961961: Remain 348 Samples, max category conditions [33], timestep  708
2024-08-18 16:15:54.047538: Remain 348 Samples, max category conditions [33], timestep  707
2024-08-18 16:15:54.132047: Remain 348 Samples, max category conditions [33], timestep  706
2024-08-18 16:15:54.217659: Remain 348 Samples, max category conditions [33], timestep  705
2024-08-18 16:15:54.303245: Remain 348 Samples, max category conditions [33], timestep  704
2024-08-18 16:15:54.388842: Remain 348 Samples, max category conditions [33], timestep  703
2024-08-18 16:15:54.475320: Remain 348 Samples, max category conditions [33], timestep  702
2024-08-18 16:15:54.560355: Remain 348 Samples, max category conditions [33], timestep  701
2024-08-18 16:15:54.644957: Remain 348 Samples, max category conditions [33], timestep  700
2024-08-18 16:15:54.734146: Remain 348 Samples, max category conditions [33], timestep  699
2024-08-18 16:15:54.819719: Remain 348 Samples, max category conditions [33], timestep  698
2024-08-18 16:15:54.906330: Remain 348 Samples, max category conditions [33], timestep  697
2024-08-18 16:15:54.990935: Remain 348 Samples, max category conditions [33], timestep  696
2024-08-18 16:15:55.077415: Remain 348 Samples, max category conditions [33], timestep  695
2024-08-18 16:15:55.162481: Remain 348 Samples, max category conditions [33], timestep  694
2024-08-18 16:15:55.248986: Remain 348 Samples, max category conditions [33], timestep  693
2024-08-18 16:15:55.333595: Remain 348 Samples, max category conditions [33], timestep  692
2024-08-18 16:15:55.419072: Remain 348 Samples, max category conditions [33], timestep  691
2024-08-18 16:15:55.504687: Remain 348 Samples, max category conditions [33], timestep  690
2024-08-18 16:15:55.590211: Remain 348 Samples, max category conditions [33], timestep  689
2024-08-18 16:15:55.676784: Remain 348 Samples, max category conditions [33], timestep  688
2024-08-18 16:15:55.761788: Remain 348 Samples, max category conditions [33], timestep  687
2024-08-18 16:15:55.847395: Remain 348 Samples, max category conditions [33], timestep  686
2024-08-18 16:15:55.932980: Remain 348 Samples, max category conditions [33], timestep  685
2024-08-18 16:15:56.021589: Remain 348 Samples, max category conditions [33], timestep  684
2024-08-18 16:15:56.107164: Remain 348 Samples, max category conditions [33], timestep  683
2024-08-18 16:15:56.192774: Remain 348 Samples, max category conditions [33], timestep  682
2024-08-18 16:15:56.278319: Remain 348 Samples, max category conditions [33], timestep  681
2024-08-18 16:15:56.364356: Remain 348 Samples, max category conditions [33], timestep  680
2024-08-18 16:15:56.448861: Remain 348 Samples, max category conditions [33], timestep  679
2024-08-18 16:15:56.534372: Remain 348 Samples, max category conditions [33], timestep  678
2024-08-18 16:15:56.619770: Remain 348 Samples, max category conditions [33], timestep  677
2024-08-18 16:15:56.705349: Remain 348 Samples, max category conditions [33], timestep  676
2024-08-18 16:15:56.790828: Remain 348 Samples, max category conditions [33], timestep  675
2024-08-18 16:15:56.877338: Remain 348 Samples, max category conditions [33], timestep  674
2024-08-18 16:15:56.962339: Remain 348 Samples, max category conditions [33], timestep  673
2024-08-18 16:15:57.048348: Remain 348 Samples, max category conditions [33], timestep  672
2024-08-18 16:15:57.133961: Remain 348 Samples, max category conditions [33], timestep  671
2024-08-18 16:15:57.219468: Remain 348 Samples, max category conditions [33], timestep  670
2024-08-18 16:15:57.308049: Remain 348 Samples, max category conditions [33], timestep  669
2024-08-18 16:15:57.392552: Remain 348 Samples, max category conditions [33], timestep  668
2024-08-18 16:15:57.479141: Remain 348 Samples, max category conditions [33], timestep  667
2024-08-18 16:15:57.564146: Remain 348 Samples, max category conditions [33], timestep  666
2024-08-18 16:15:57.650687: Remain 348 Samples, max category conditions [33], timestep  665
2024-08-18 16:15:57.736305: Remain 348 Samples, max category conditions [33], timestep  664
2024-08-18 16:15:57.820880: Remain 348 Samples, max category conditions [33], timestep  663
2024-08-18 16:15:57.906358: Remain 348 Samples, max category conditions [33], timestep  662
2024-08-18 16:15:57.991936: Remain 348 Samples, max category conditions [33], timestep  661
2024-08-18 16:15:58.077313: Remain 348 Samples, max category conditions [33], timestep  660
2024-08-18 16:15:58.162354: Remain 348 Samples, max category conditions [33], timestep  659
2024-08-18 16:15:58.248494: Remain 348 Samples, max category conditions [33], timestep  658
2024-08-18 16:15:58.334067: Remain 348 Samples, max category conditions [33], timestep  657
2024-08-18 16:15:58.420334: Remain 348 Samples, max category conditions [33], timestep  656
2024-08-18 16:15:58.505455: Remain 348 Samples, max category conditions [33], timestep  655
2024-08-18 16:15:58.591000: Remain 348 Samples, max category conditions [33], timestep  654
2024-08-18 16:15:58.680546: Remain 348 Samples, max category conditions [33], timestep  653
2024-08-18 16:15:58.765597: Remain 348 Samples, max category conditions [33], timestep  652
2024-08-18 16:15:58.851076: Remain 348 Samples, max category conditions [33], timestep  651
2024-08-18 16:15:58.935655: Remain 348 Samples, max category conditions [33], timestep  650
2024-08-18 16:15:59.021199: Remain 348 Samples, max category conditions [33], timestep  649
