mlp
2024-08-18 15:39:36.389729: Remain 1584 Samples, max category conditions [38], timestep  999
2024-08-18 15:39:37.012168: Remain 1584 Samples, max category conditions [38], timestep  998
2024-08-18 15:39:40.849420: Remain 1584 Samples, max category conditions [38], timestep  963
2024-08-18 15:39:40.937999: Remain 1584 Samples, max category conditions [38], timestep  962
2024-08-18 15:39:41.024995: Remain 1584 Samples, max category conditions [38], timestep  961
2024-08-18 15:39:41.113573: Remain 1584 Samples, max category conditions [38], timestep  960
2024-08-18 15:39:41.201183: Remain 1584 Samples, max category conditions [38], timestep  959
2024-08-18 15:39:41.288794: Remain 1584 Samples, max category conditions [38], timestep  958
2024-08-18 15:39:41.378300: Remain 1584 Samples, max category conditions [38], timestep  957
2024-08-18 15:39:41.465877: Remain 1584 Samples, max category conditions [38], timestep  956
2024-08-18 15:39:41.553458: Remain 1584 Samples, max category conditions [38], timestep  955
2024-08-18 15:39:41.639998: Remain 1584 Samples, max category conditions [38], timestep  954
2024-08-18 15:39:41.728002: Remain 1584 Samples, max category conditions [38], timestep  953
2024-08-18 15:39:41.815541: Remain 1584 Samples, max category conditions [38], timestep  952
2024-08-18 15:39:41.903139: Remain 1584 Samples, max category conditions [38], timestep  951
2024-08-18 15:39:41.990642: Remain 1584 Samples, max category conditions [38], timestep  950
2024-08-18 15:39:42.079259: Remain 1584 Samples, max category conditions [38], timestep  949
2024-08-18 15:39:42.166833: Remain 1584 Samples, max category conditions [38], timestep  948
2024-08-18 15:39:42.254416: Remain 1584 Samples, max category conditions [38], timestep  947
2024-08-18 15:39:42.342049: Remain 1584 Samples, max category conditions [38], timestep  946
2024-08-18 15:39:42.429558: Remain 1584 Samples, max category conditions [38], timestep  945
2024-08-18 15:39:42.517098: Remain 1584 Samples, max category conditions [38], timestep  944
2024-08-18 15:39:42.605715: Remain 1584 Samples, max category conditions [38], timestep  943
2024-08-18 15:39:42.692325: Remain 1584 Samples, max category conditions [38], timestep  942
2024-08-18 15:39:42.779727: Remain 1584 Samples, max category conditions [38], timestep  941
2024-08-18 15:39:42.867338: Remain 1584 Samples, max category conditions [38], timestep  940
2024-08-18 15:39:42.954981: Remain 1584 Samples, max category conditions [38], timestep  939
2024-08-18 15:39:43.041491: Remain 1584 Samples, max category conditions [38], timestep  938
2024-08-18 15:39:43.128561: Remain 1584 Samples, max category conditions [38], timestep  937
2024-08-18 15:39:43.216139: Remain 1584 Samples, max category conditions [38], timestep  936
2024-08-18 15:39:43.304643: Remain 1584 Samples, max category conditions [38], timestep  935
2024-08-18 15:39:43.392249: Remain 1584 Samples, max category conditions [38], timestep  934
2024-08-18 15:39:43.479826: Remain 1584 Samples, max category conditions [38], timestep  933
2024-08-18 15:39:43.567399: Remain 1584 Samples, max category conditions [38], timestep  932
2024-08-18 15:39:43.655624: Remain 1584 Samples, max category conditions [38], timestep  931
2024-08-18 15:39:43.743199: Remain 1584 Samples, max category conditions [38], timestep  930
2024-08-18 15:39:43.830267: Remain 1584 Samples, max category conditions [38], timestep  929
2024-08-18 15:39:43.917808: Remain 1584 Samples, max category conditions [38], timestep  928
2024-08-18 15:39:44.005414: Remain 1584 Samples, max category conditions [38], timestep  927
2024-08-18 15:39:44.093052: Remain 1584 Samples, max category conditions [38], timestep  926
2024-08-18 15:39:44.179655: Remain 1584 Samples, max category conditions [38], timestep  925
2024-08-18 15:39:44.267267: Remain 1584 Samples, max category conditions [38], timestep  924
2024-08-18 15:39:44.355866: Remain 1584 Samples, max category conditions [38], timestep  923
2024-08-18 15:39:44.442439: Remain 1584 Samples, max category conditions [38], timestep  922
2024-08-18 15:39:44.532477: Remain 1584 Samples, max category conditions [38], timestep  921
2024-08-18 15:39:44.620048: Remain 1584 Samples, max category conditions [38], timestep  920
2024-08-18 15:39:44.708591: Remain 1584 Samples, max category conditions [38], timestep  919
2024-08-18 15:39:44.795199: Remain 1584 Samples, max category conditions [38], timestep  918
2024-08-18 15:39:44.882812: Remain 1584 Samples, max category conditions [38], timestep  917
2024-08-18 15:39:44.970398: Remain 1584 Samples, max category conditions [38], timestep  916
2024-08-18 15:39:45.058015: Remain 1584 Samples, max category conditions [38], timestep  915
2024-08-18 15:39:45.145545: Remain 1584 Samples, max category conditions [38], timestep  914
2024-08-18 15:39:45.232584: Remain 1584 Samples, max category conditions [38], timestep  913
2024-08-18 15:39:45.320157: Remain 1584 Samples, max category conditions [38], timestep  912
2024-08-18 15:39:45.407778: Remain 1584 Samples, max category conditions [38], timestep  911
2024-08-18 15:39:45.494346: Remain 1584 Samples, max category conditions [38], timestep  910
2024-08-18 15:39:45.581949: Remain 1584 Samples, max category conditions [38], timestep  909
2024-08-18 15:39:45.670557: Remain 1584 Samples, max category conditions [38], timestep  908
2024-08-18 15:39:45.758172: Remain 1584 Samples, max category conditions [38], timestep  907
2024-08-18 15:39:45.847352: Remain 1584 Samples, max category conditions [38], timestep  906
2024-08-18 15:39:45.934356: Remain 1584 Samples, max category conditions [38], timestep  905
2024-08-18 15:39:46.021957: Remain 1584 Samples, max category conditions [38], timestep  904
2024-08-18 15:39:46.111570: Remain 1584 Samples, max category conditions [38], timestep  903
2024-08-18 15:39:46.199112: Remain 1584 Samples, max category conditions [38], timestep  902
2024-08-18 15:39:46.286696: Remain 1584 Samples, max category conditions [38], timestep  901
2024-08-18 15:39:46.374335: Remain 1584 Samples, max category conditions [38], timestep  900
2024-08-18 15:39:46.460950: Remain 1584 Samples, max category conditions [38], timestep  899
2024-08-18 15:39:46.548553: Remain 1584 Samples, max category conditions [38], timestep  898
2024-08-18 15:39:46.636591: Remain 1584 Samples, max category conditions [38], timestep  897
2024-08-18 15:39:46.724165: Remain 1584 Samples, max category conditions [38], timestep  896
2024-08-18 15:39:46.811735: Remain 1584 Samples, max category conditions [38], timestep  895
2024-08-18 15:39:46.900309: Remain 1584 Samples, max category conditions [38], timestep  894
2024-08-18 15:39:46.988174: Remain 1584 Samples, max category conditions [38], timestep  893
2024-08-18 15:39:47.075748: Remain 1584 Samples, max category conditions [38], timestep  892
2024-08-18 15:39:47.164360: Remain 1584 Samples, max category conditions [38], timestep  891
2024-08-18 15:39:47.251972: Remain 1584 Samples, max category conditions [38], timestep  890
2024-08-18 15:39:47.339007: Remain 1584 Samples, max category conditions [38], timestep  889
2024-08-18 15:39:47.426591: Remain 1584 Samples, max category conditions [38], timestep  888
2024-08-18 15:39:47.514197: Remain 1584 Samples, max category conditions [38], timestep  887
2024-08-18 15:39:47.601814: Remain 1584 Samples, max category conditions [38], timestep  886
2024-08-18 15:39:47.689424: Remain 1584 Samples, max category conditions [38], timestep  885
2024-08-18 15:39:47.777001: Remain 1584 Samples, max category conditions [38], timestep  884
2024-08-18 15:39:47.864534: Remain 1584 Samples, max category conditions [38], timestep  883
2024-08-18 15:39:47.953699: Remain 1584 Samples, max category conditions [38], timestep  882
2024-08-18 15:39:48.040738: Remain 1584 Samples, max category conditions [38], timestep  881
2024-08-18 15:39:48.127695: Remain 1584 Samples, max category conditions [38], timestep  880
2024-08-18 15:39:48.215298: Remain 1584 Samples, max category conditions [38], timestep  879
2024-08-18 15:39:48.302905: Remain 1584 Samples, max category conditions [38], timestep  878
2024-08-18 15:39:48.390522: Remain 1584 Samples, max category conditions [38], timestep  877
2024-08-18 15:39:48.480062: Remain 1584 Samples, max category conditions [38], timestep  876
2024-08-18 15:39:48.566673: Remain 1584 Samples, max category conditions [38], timestep  875
2024-08-18 15:39:48.655318: Remain 1584 Samples, max category conditions [38], timestep  874
2024-08-18 15:39:48.742343: Remain 1584 Samples, max category conditions [38], timestep  873
2024-08-18 15:39:48.829963: Remain 1584 Samples, max category conditions [38], timestep  872
2024-08-18 15:39:48.916548: Remain 1584 Samples, max category conditions [38], timestep  871
2024-08-18 15:39:49.005140: Remain 1584 Samples, max category conditions [38], timestep  870
2024-08-18 15:39:49.093747: Remain 1584 Samples, max category conditions [38], timestep  869
2024-08-18 15:39:49.180359: Remain 1584 Samples, max category conditions [38], timestep  868
2024-08-18 15:39:49.267933: Remain 1584 Samples, max category conditions [38], timestep  867
2024-08-18 15:39:49.356226: Remain 1584 Samples, max category conditions [38], timestep  866
2024-08-18 15:39:49.443261: Remain 1584 Samples, max category conditions [38], timestep  865
2024-08-18 15:39:49.530877: Remain 1584 Samples, max category conditions [38], timestep  864
2024-08-18 15:39:49.617422: Remain 1584 Samples, max category conditions [38], timestep  863
2024-08-18 15:39:49.707063: Remain 1584 Samples, max category conditions [38], timestep  862
2024-08-18 15:39:49.794640: Remain 1584 Samples, max category conditions [38], timestep  861
2024-08-18 15:39:49.882251: Remain 1584 Samples, max category conditions [38], timestep  860
2024-08-18 15:39:49.970856: Remain 1584 Samples, max category conditions [38], timestep  859
2024-08-18 15:39:50.058463: Remain 1584 Samples, max category conditions [38], timestep  858
2024-08-18 15:39:50.144501: Remain 1584 Samples, max category conditions [38], timestep  857
2024-08-18 15:39:50.233111: Remain 1584 Samples, max category conditions [38], timestep  856
2024-08-18 15:39:50.320498: Remain 1584 Samples, max category conditions [38], timestep  855
2024-08-18 15:39:50.408071: Remain 1584 Samples, max category conditions [38], timestep  854
2024-08-18 15:39:50.494716: Remain 1584 Samples, max category conditions [38], timestep  853
2024-08-18 15:39:50.582326: Remain 1584 Samples, max category conditions [38], timestep  852
2024-08-18 15:39:50.670929: Remain 1584 Samples, max category conditions [38], timestep  851
2024-08-18 15:39:50.757472: Remain 1584 Samples, max category conditions [38], timestep  850
2024-08-18 15:39:50.845539: Remain 1584 Samples, max category conditions [38], timestep  849
2024-08-18 15:39:50.933084: Remain 1584 Samples, max category conditions [38], timestep  848
2024-08-18 15:39:51.020685: Remain 1584 Samples, max category conditions [38], timestep  847
2024-08-18 15:39:51.111299: Remain 1584 Samples, max category conditions [38], timestep  846
2024-08-18 15:39:51.198918: Remain 1584 Samples, max category conditions [38], timestep  845
2024-08-18 15:39:51.287493: Remain 1584 Samples, max category conditions [38], timestep  844
2024-08-18 15:39:51.375052: Remain 1584 Samples, max category conditions [38], timestep  843
2024-08-18 15:39:51.463690: Remain 1584 Samples, max category conditions [38], timestep  842
2024-08-18 15:39:51.551870: Remain 1584 Samples, max category conditions [38], timestep  841
2024-08-18 15:39:51.638917: Remain 1584 Samples, max category conditions [38], timestep  840
2024-08-18 15:39:51.727484: Remain 1584 Samples, max category conditions [38], timestep  839
2024-08-18 15:39:51.815015: Remain 1584 Samples, max category conditions [38], timestep  838
2024-08-18 15:39:51.901607: Remain 1584 Samples, max category conditions [38], timestep  837
2024-08-18 15:39:51.990216: Remain 1584 Samples, max category conditions [38], timestep  836
2024-08-18 15:39:52.076824: Remain 1584 Samples, max category conditions [38], timestep  835
2024-08-18 15:39:52.164433: Remain 1584 Samples, max category conditions [38], timestep  834
2024-08-18 15:39:52.251941: Remain 1584 Samples, max category conditions [38], timestep  833
2024-08-18 15:39:52.340012: Remain 1584 Samples, max category conditions [38], timestep  832
2024-08-18 15:39:52.428584: Remain 1584 Samples, max category conditions [38], timestep  831
2024-08-18 15:39:52.517163: Remain 1584 Samples, max category conditions [38], timestep  830
2024-08-18 15:39:52.604771: Remain 1584 Samples, max category conditions [38], timestep  829
2024-08-18 15:39:52.691919: Remain 1584 Samples, max category conditions [38], timestep  828
2024-08-18 15:39:52.779497: Remain 1584 Samples, max category conditions [38], timestep  827
2024-08-18 15:39:52.867158: Remain 1584 Samples, max category conditions [38], timestep  826
2024-08-18 15:39:52.954643: Remain 1584 Samples, max category conditions [38], timestep  825
2024-08-18 15:39:53.041712: Remain 1584 Samples, max category conditions [38], timestep  824
2024-08-18 15:39:53.129290: Remain 1584 Samples, max category conditions [38], timestep  823
2024-08-18 15:39:53.216894: Remain 1584 Samples, max category conditions [38], timestep  822
2024-08-18 15:39:53.304509: Remain 1584 Samples, max category conditions [38], timestep  821
2024-08-18 15:39:53.392120: Remain 1584 Samples, max category conditions [38], timestep  820
2024-08-18 15:39:53.479701: Remain 1584 Samples, max category conditions [38], timestep  819
2024-08-18 15:39:53.568307: Remain 1584 Samples, max category conditions [38], timestep  818
2024-08-18 15:39:53.655893: Remain 1584 Samples, max category conditions [38], timestep  817
2024-08-18 15:39:53.743897: Remain 1584 Samples, max category conditions [38], timestep  816
2024-08-18 15:39:53.832441: Remain 1584 Samples, max category conditions [38], timestep  815
2024-08-18 15:39:53.921021: Remain 1584 Samples, max category conditions [38], timestep  814
2024-08-18 15:39:54.007597: Remain 1584 Samples, max category conditions [38], timestep  813
2024-08-18 15:39:54.096206: Remain 1584 Samples, max category conditions [38], timestep  812
2024-08-18 15:39:54.182813: Remain 1584 Samples, max category conditions [38], timestep  811
2024-08-18 15:39:54.270339: Remain 1584 Samples, max category conditions [38], timestep  810
2024-08-18 15:39:54.357919: Remain 1584 Samples, max category conditions [38], timestep  809
2024-08-18 15:39:54.445953: Remain 1584 Samples, max category conditions [38], timestep  808
2024-08-18 15:39:54.532567: Remain 1584 Samples, max category conditions [38], timestep  807
2024-08-18 15:39:54.622131: Remain 1584 Samples, max category conditions [38], timestep  806
2024-08-18 15:39:54.710568: Remain 1584 Samples, max category conditions [38], timestep  805
2024-08-18 15:39:54.798173: Remain 1584 Samples, max category conditions [38], timestep  804
2024-08-18 15:39:54.886511: Remain 1584 Samples, max category conditions [38], timestep  803
2024-08-18 15:39:54.973515: Remain 1584 Samples, max category conditions [38], timestep  802
2024-08-18 15:39:55.061055: Remain 1584 Samples, max category conditions [38], timestep  801
2024-08-18 15:39:55.148059: Remain 1584 Samples, max category conditions [38], timestep  800
2024-08-18 15:39:55.235572: Remain 1584 Samples, max category conditions [38], timestep  799
2024-08-18 15:39:55.323177: Remain 1584 Samples, max category conditions [38], timestep  798
2024-08-18 15:39:55.410590: Remain 1584 Samples, max category conditions [38], timestep  797
2024-08-18 15:39:55.498151: Remain 1584 Samples, max category conditions [38], timestep  796
2024-08-18 15:39:55.586559: Remain 1584 Samples, max category conditions [38], timestep  795
2024-08-18 15:39:55.674143: Remain 1584 Samples, max category conditions [38], timestep  794
2024-08-18 15:39:55.762723: Remain 1584 Samples, max category conditions [38], timestep  793
2024-08-18 15:39:55.850283: Remain 1584 Samples, max category conditions [38], timestep  792
2024-08-18 15:39:55.938324: Remain 1584 Samples, max category conditions [38], timestep  791
2024-08-18 15:39:56.025587: Remain 1584 Samples, max category conditions [38], timestep  790
2024-08-18 15:39:56.112669: Remain 1584 Samples, max category conditions [38], timestep  789
2024-08-18 15:39:56.200836: Remain 1584 Samples, max category conditions [38], timestep  788
2024-08-18 15:39:56.287378: Remain 1584 Samples, max category conditions [38], timestep  787
2024-08-18 15:39:56.374991: Remain 1584 Samples, max category conditions [38], timestep  786
2024-08-18 15:39:56.462504: Remain 1584 Samples, max category conditions [38], timestep  785
2024-08-18 15:39:56.549530: Remain 1584 Samples, max category conditions [38], timestep  784
2024-08-18 15:39:56.638108: Remain 1584 Samples, max category conditions [38], timestep  783
2024-08-18 15:39:56.725614: Remain 1584 Samples, max category conditions [38], timestep  782
2024-08-18 15:39:56.815227: Remain 1584 Samples, max category conditions [38], timestep  781
2024-08-18 15:39:56.902842: Remain 1584 Samples, max category conditions [38], timestep  780
2024-08-18 15:39:56.989445: Remain 1584 Samples, max category conditions [38], timestep  779
2024-08-18 15:39:57.080760: Remain 1584 Samples, max category conditions [38], timestep  778
2024-08-18 15:39:57.167342: Remain 1584 Samples, max category conditions [38], timestep  777
2024-08-18 15:39:57.256695: Remain 1584 Samples, max category conditions [38], timestep  776
2024-08-18 15:39:57.343719: Remain 1584 Samples, max category conditions [38], timestep  775
2024-08-18 15:39:57.431297: Remain 1584 Samples, max category conditions [38], timestep  774
2024-08-18 15:39:57.517914: Remain 1584 Samples, max category conditions [38], timestep  773
2024-08-18 15:39:57.606455: Remain 1584 Samples, max category conditions [38], timestep  772
2024-08-18 15:39:57.693999: Remain 1584 Samples, max category conditions [38], timestep  771
2024-08-18 15:39:57.781457: Remain 1584 Samples, max category conditions [38], timestep  770
2024-08-18 15:39:57.870000: Remain 1584 Samples, max category conditions [38], timestep  769
2024-08-18 15:39:57.956608: Remain 1584 Samples, max category conditions [38], timestep  768
2024-08-18 15:39:58.045648: Remain 1584 Samples, max category conditions [38], timestep  767
2024-08-18 15:39:58.133161: Remain 1584 Samples, max category conditions [38], timestep  766
2024-08-18 15:39:58.222772: Remain 1584 Samples, max category conditions [38], timestep  765
2024-08-18 15:39:58.310326: Remain 1584 Samples, max category conditions [38], timestep  764
2024-08-18 15:39:58.398478: Remain 1584 Samples, max category conditions [38], timestep  763
2024-08-18 15:39:58.486087: Remain 1584 Samples, max category conditions [38], timestep  762
2024-08-18 15:39:58.573692: Remain 1584 Samples, max category conditions [38], timestep  761
2024-08-18 15:39:58.660803: Remain 1584 Samples, max category conditions [38], timestep  760
2024-08-18 15:39:58.748844: Remain 1584 Samples, max category conditions [38], timestep  759
2024-08-18 15:39:58.836385: Remain 1584 Samples, max category conditions [38], timestep  758
2024-08-18 15:39:58.924028: Remain 1584 Samples, max category conditions [38], timestep  757
2024-08-18 15:39:59.011567: Remain 1584 Samples, max category conditions [38], timestep  756
2024-08-18 15:39:59.099152: Remain 1584 Samples, max category conditions [38], timestep  755
2024-08-18 15:39:59.187558: Remain 1584 Samples, max category conditions [38], timestep  754
2024-08-18 15:39:59.275200: Remain 1584 Samples, max category conditions [38], timestep  753
2024-08-18 15:39:59.362746: Remain 1584 Samples, max category conditions [38], timestep  752
2024-08-18 15:39:59.449812: Remain 1584 Samples, max category conditions [38], timestep  751
2024-08-18 15:39:59.537389: Remain 1584 Samples, max category conditions [38], timestep  750
2024-08-18 15:39:59.628002: Remain 1584 Samples, max category conditions [38], timestep  749
2024-08-18 15:39:59.715603: Remain 1584 Samples, max category conditions [38], timestep  748
2024-08-18 15:39:59.804209: Remain 1584 Samples, max category conditions [38], timestep  747
2024-08-18 15:39:59.891819: Remain 1584 Samples, max category conditions [38], timestep  746
2024-08-18 15:39:59.979431: Remain 1584 Samples, max category conditions [38], timestep  745
2024-08-18 15:40:00.066907: Remain 1584 Samples, max category conditions [38], timestep  744
2024-08-18 15:40:00.154527: Remain 1584 Samples, max category conditions [38], timestep  743
2024-08-18 15:40:00.244602: Remain 1584 Samples, max category conditions [38], timestep  742
2024-08-18 15:40:00.335170: Remain 1584 Samples, max category conditions [38], timestep  741
2024-08-18 15:40:00.422759: Remain 1584 Samples, max category conditions [38], timestep  740
2024-08-18 15:40:00.512301: Remain 1584 Samples, max category conditions [38], timestep  739
2024-08-18 15:40:00.600843: Remain 1584 Samples, max category conditions [38], timestep  738
2024-08-18 15:40:00.688922: Remain 1584 Samples, max category conditions [38], timestep  737
2024-08-18 15:40:00.776561: Remain 1584 Samples, max category conditions [38], timestep  736
2024-08-18 15:40:00.866169: Remain 1584 Samples, max category conditions [38], timestep  735
2024-08-18 15:40:00.953206: Remain 1584 Samples, max category conditions [38], timestep  734
2024-08-18 15:40:01.042816: Remain 1584 Samples, max category conditions [38], timestep  733
2024-08-18 15:40:01.131357: Remain 1584 Samples, max category conditions [38], timestep  732
2024-08-18 15:40:01.219002: Remain 1584 Samples, max category conditions [38], timestep  731
2024-08-18 15:40:01.307543: Remain 1584 Samples, max category conditions [38], timestep  730
2024-08-18 15:40:01.396151: Remain 1584 Samples, max category conditions [38], timestep  729
2024-08-18 15:40:01.482757: Remain 1584 Samples, max category conditions [38], timestep  728
2024-08-18 15:40:01.570365: Remain 1584 Samples, max category conditions [38], timestep  727
2024-08-18 15:40:01.657872: Remain 1584 Samples, max category conditions [38], timestep  726
2024-08-18 15:40:01.744942: Remain 1584 Samples, max category conditions [38], timestep  725
2024-08-18 15:40:01.832516: Remain 1584 Samples, max category conditions [38], timestep  724
2024-08-18 15:40:01.920131: Remain 1584 Samples, max category conditions [38], timestep  723
2024-08-18 15:40:02.007709: Remain 1584 Samples, max category conditions [38], timestep  722
2024-08-18 15:40:02.096319: Remain 1584 Samples, max category conditions [38], timestep  721
2024-08-18 15:40:02.183931: Remain 1584 Samples, max category conditions [38], timestep  720
2024-08-18 15:40:02.272533: Remain 1584 Samples, max category conditions [38], timestep  719
2024-08-18 15:40:02.360165: Remain 1584 Samples, max category conditions [38], timestep  718
2024-08-18 15:40:02.449202: Remain 1584 Samples, max category conditions [38], timestep  717
2024-08-18 15:40:02.536784: Remain 1584 Samples, max category conditions [38], timestep  716
2024-08-18 15:40:02.624354: Remain 1584 Samples, max category conditions [38], timestep  715
2024-08-18 15:40:02.711001: Remain 1584 Samples, max category conditions [38], timestep  714
2024-08-18 15:40:02.799577: Remain 1584 Samples, max category conditions [38], timestep  713
2024-08-18 15:40:02.888084: Remain 1584 Samples, max category conditions [38], timestep  712
2024-08-18 15:40:02.974693: Remain 1584 Samples, max category conditions [38], timestep  711
2024-08-18 15:40:03.062284: Remain 1584 Samples, max category conditions [38], timestep  710
2024-08-18 15:40:03.150324: Remain 1584 Samples, max category conditions [38], timestep  709
2024-08-18 15:40:03.237895: Remain 1584 Samples, max category conditions [38], timestep  708
2024-08-18 15:40:03.327508: Remain 1584 Samples, max category conditions [38], timestep  707
2024-08-18 15:40:03.415113: Remain 1584 Samples, max category conditions [38], timestep  706
2024-08-18 15:40:03.504688: Remain 1584 Samples, max category conditions [38], timestep  705
2024-08-18 15:40:03.592298: Remain 1584 Samples, max category conditions [38], timestep  704
2024-08-18 15:40:03.680809: Remain 1584 Samples, max category conditions [38], timestep  703
2024-08-18 15:40:03.768416: Remain 1584 Samples, max category conditions [38], timestep  702
2024-08-18 15:40:03.856431: Remain 1584 Samples, max category conditions [38], timestep  701
2024-08-18 15:40:03.944580: Remain 1584 Samples, max category conditions [38], timestep  700
2024-08-18 15:40:04.031130: Remain 1584 Samples, max category conditions [38], timestep  699
2024-08-18 15:40:04.119732: Remain 1584 Samples, max category conditions [38], timestep  698
2024-08-18 15:40:04.206378: Remain 1584 Samples, max category conditions [38], timestep  697
2024-08-18 15:40:04.293985: Remain 1584 Samples, max category conditions [38], timestep  696
2024-08-18 15:40:04.382071: Remain 1584 Samples, max category conditions [38], timestep  695
2024-08-18 15:40:04.469675: Remain 1584 Samples, max category conditions [38], timestep  694
2024-08-18 15:40:04.559184: Remain 1584 Samples, max category conditions [38], timestep  693
2024-08-18 15:40:04.648254: Remain 1584 Samples, max category conditions [38], timestep  692
2024-08-18 15:40:04.736828: Remain 1584 Samples, max category conditions [38], timestep  691
2024-08-18 15:40:04.824435: Remain 1584 Samples, max category conditions [38], timestep  690
2024-08-18 15:40:04.911941: Remain 1584 Samples, max category conditions [38], timestep  689
2024-08-18 15:40:04.999542: Remain 1584 Samples, max category conditions [38], timestep  688
2024-08-18 15:40:05.086658: Remain 1584 Samples, max category conditions [38], timestep  687
2024-08-18 15:40:05.174273: Remain 1584 Samples, max category conditions [38], timestep  686
2024-08-18 15:40:05.260776: Remain 1584 Samples, max category conditions [38], timestep  685
2024-08-18 15:40:05.348842: Remain 1584 Samples, max category conditions [38], timestep  684
2024-08-18 15:40:05.436422: Remain 1584 Samples, max category conditions [38], timestep  683
2024-08-18 15:40:05.524025: Remain 1584 Samples, max category conditions [38], timestep  682
2024-08-18 15:40:05.611649: Remain 1584 Samples, max category conditions [38], timestep  681
2024-08-18 15:40:05.700255: Remain 1584 Samples, max category conditions [38], timestep  680
2024-08-18 15:40:05.791779: Remain 1584 Samples, max category conditions [38], timestep  679
2024-08-18 15:40:05.880263: Remain 1584 Samples, max category conditions [38], timestep  678
2024-08-18 15:40:05.967409: Remain 1584 Samples, max category conditions [38], timestep  677
2024-08-18 15:40:06.055405: Remain 1584 Samples, max category conditions [38], timestep  676
2024-08-18 15:40:06.143942: Remain 1584 Samples, max category conditions [38], timestep  675
2024-08-18 15:40:06.231558: Remain 1584 Samples, max category conditions [38], timestep  674
2024-08-18 15:40:06.320165: Remain 1584 Samples, max category conditions [38], timestep  673
2024-08-18 15:40:06.406773: Remain 1584 Samples, max category conditions [38], timestep  672
2024-08-18 15:40:06.494385: Remain 1584 Samples, max category conditions [38], timestep  671
2024-08-18 15:40:06.581992: Remain 1584 Samples, max category conditions [38], timestep  670
2024-08-18 15:40:06.669507: Remain 1584 Samples, max category conditions [38], timestep  669
2024-08-18 15:40:06.757575: Remain 1584 Samples, max category conditions [38], timestep  668
2024-08-18 15:40:06.847193: Remain 1584 Samples, max category conditions [38], timestep  667
2024-08-18 15:40:06.937756: Remain 1584 Samples, max category conditions [38], timestep  666
2024-08-18 15:40:07.024364: Remain 1584 Samples, max category conditions [38], timestep  665
2024-08-18 15:40:07.111977: Remain 1584 Samples, max category conditions [38], timestep  664
2024-08-18 15:40:07.200551: Remain 1584 Samples, max category conditions [38], timestep  663
2024-08-18 15:40:07.287123: Remain 1584 Samples, max category conditions [38], timestep  662
2024-08-18 15:40:07.374726: Remain 1584 Samples, max category conditions [38], timestep  661
2024-08-18 15:40:07.462165: Remain 1584 Samples, max category conditions [38], timestep  660
