mlp
2024-08-18 16:30:31.965618: Remain 1850 Samples, max category conditions [35], timestep  999
2024-08-18 16:30:32.593567: Remain 1850 Samples, max category conditions [35], timestep  998
2024-08-18 16:30:35.024332: Remain 1850 Samples, max category conditions [35], timestep  972
2024-08-18 16:30:35.109510: Remain 1850 Samples, max category conditions [35], timestep  971
2024-08-18 16:30:35.195058: Remain 1850 Samples, max category conditions [35], timestep  970
2024-08-18 16:30:35.280094: Remain 1850 Samples, max category conditions [35], timestep  969
2024-08-18 16:30:35.367641: Remain 1850 Samples, max category conditions [35], timestep  968
2024-08-18 16:30:35.454200: Remain 1850 Samples, max category conditions [35], timestep  967
2024-08-18 16:30:35.539833: Remain 1850 Samples, max category conditions [35], timestep  966
2024-08-18 16:30:35.625382: Remain 1850 Samples, max category conditions [35], timestep  965
2024-08-18 16:30:35.712980: Remain 1850 Samples, max category conditions [35], timestep  964
2024-08-18 16:30:35.798542: Remain 1850 Samples, max category conditions [35], timestep  963
2024-08-18 16:30:35.884159: Remain 1850 Samples, max category conditions [35], timestep  962
2024-08-18 16:30:35.969164: Remain 1850 Samples, max category conditions [35], timestep  961
2024-08-18 16:30:36.055778: Remain 1850 Samples, max category conditions [35], timestep  960
2024-08-18 16:30:36.142328: Remain 1850 Samples, max category conditions [35], timestep  959
2024-08-18 16:30:36.228256: Remain 1850 Samples, max category conditions [35], timestep  958
2024-08-18 16:30:36.313871: Remain 1850 Samples, max category conditions [35], timestep  957
2024-08-18 16:30:36.398449: Remain 1850 Samples, max category conditions [35], timestep  956
2024-08-18 16:30:36.483453: Remain 1850 Samples, max category conditions [35], timestep  955
2024-08-18 16:30:36.569747: Remain 1850 Samples, max category conditions [35], timestep  954
2024-08-18 16:30:36.656190: Remain 1850 Samples, max category conditions [35], timestep  953
2024-08-18 16:30:36.741770: Remain 1850 Samples, max category conditions [35], timestep  952
2024-08-18 16:30:36.827351: Remain 1850 Samples, max category conditions [35], timestep  951
2024-08-18 16:30:36.912931: Remain 1850 Samples, max category conditions [35], timestep  950
2024-08-18 16:30:36.998528: Remain 1850 Samples, max category conditions [35], timestep  949
2024-08-18 16:30:37.083500: Remain 1850 Samples, max category conditions [35], timestep  948
2024-08-18 16:30:37.170041: Remain 1850 Samples, max category conditions [35], timestep  947
2024-08-18 16:30:37.255652: Remain 1850 Samples, max category conditions [35], timestep  946
2024-08-18 16:30:37.342201: Remain 1850 Samples, max category conditions [35], timestep  945
2024-08-18 16:30:37.426808: Remain 1850 Samples, max category conditions [35], timestep  944
2024-08-18 16:30:37.512290: Remain 1850 Samples, max category conditions [35], timestep  943
2024-08-18 16:30:37.598490: Remain 1850 Samples, max category conditions [35], timestep  942
2024-08-18 16:30:37.684495: Remain 1850 Samples, max category conditions [35], timestep  941
2024-08-18 16:30:37.770949: Remain 1850 Samples, max category conditions [35], timestep  940
2024-08-18 16:30:37.856505: Remain 1850 Samples, max category conditions [35], timestep  939
2024-08-18 16:30:37.942117: Remain 1850 Samples, max category conditions [35], timestep  938
2024-08-18 16:30:38.027691: Remain 1850 Samples, max category conditions [35], timestep  937
2024-08-18 16:30:38.112136: Remain 1850 Samples, max category conditions [35], timestep  936
2024-08-18 16:30:38.197742: Remain 1850 Samples, max category conditions [35], timestep  935
2024-08-18 16:30:38.283788: Remain 1850 Samples, max category conditions [35], timestep  934
2024-08-18 16:30:38.369358: Remain 1850 Samples, max category conditions [35], timestep  933
2024-08-18 16:30:38.454983: Remain 1850 Samples, max category conditions [35], timestep  932
2024-08-18 16:30:38.542076: Remain 1850 Samples, max category conditions [35], timestep  931
2024-08-18 16:30:38.627686: Remain 1850 Samples, max category conditions [35], timestep  930
2024-08-18 16:30:38.713301: Remain 1850 Samples, max category conditions [35], timestep  929
2024-08-18 16:30:38.800843: Remain 1850 Samples, max category conditions [35], timestep  928
2024-08-18 16:30:38.887451: Remain 1850 Samples, max category conditions [35], timestep  927
2024-08-18 16:30:38.972494: Remain 1850 Samples, max category conditions [35], timestep  926
2024-08-18 16:30:39.058068: Remain 1850 Samples, max category conditions [35], timestep  925
2024-08-18 16:30:39.144637: Remain 1850 Samples, max category conditions [35], timestep  924
2024-08-18 16:30:39.230240: Remain 1850 Samples, max category conditions [35], timestep  923
2024-08-18 16:30:39.314852: Remain 1850 Samples, max category conditions [35], timestep  922
2024-08-18 16:30:39.400392: Remain 1850 Samples, max category conditions [35], timestep  921
2024-08-18 16:30:39.486998: Remain 1850 Samples, max category conditions [35], timestep  920
2024-08-18 16:30:39.572033: Remain 1850 Samples, max category conditions [35], timestep  919
2024-08-18 16:30:39.657611: Remain 1850 Samples, max category conditions [35], timestep  918
2024-08-18 16:30:39.745180: Remain 1850 Samples, max category conditions [35], timestep  917
2024-08-18 16:30:39.831762: Remain 1850 Samples, max category conditions [35], timestep  916
2024-08-18 16:30:39.917377: Remain 1850 Samples, max category conditions [35], timestep  915
2024-08-18 16:30:40.003807: Remain 1850 Samples, max category conditions [35], timestep  914
2024-08-18 16:30:40.088378: Remain 1850 Samples, max category conditions [35], timestep  913
2024-08-18 16:30:40.174413: Remain 1850 Samples, max category conditions [35], timestep  912
2024-08-18 16:30:40.259990: Remain 1850 Samples, max category conditions [35], timestep  911
2024-08-18 16:30:40.345604: Remain 1850 Samples, max category conditions [35], timestep  910
2024-08-18 16:30:40.431195: Remain 1850 Samples, max category conditions [35], timestep  909
2024-08-18 16:30:40.516756: Remain 1850 Samples, max category conditions [35], timestep  908
2024-08-18 16:30:40.602398: Remain 1850 Samples, max category conditions [35], timestep  907
2024-08-18 16:30:40.688963: Remain 1850 Samples, max category conditions [35], timestep  906
2024-08-18 16:30:40.775598: Remain 1850 Samples, max category conditions [35], timestep  905
2024-08-18 16:30:40.861168: Remain 1850 Samples, max category conditions [35], timestep  904
2024-08-18 16:30:40.946711: Remain 1850 Samples, max category conditions [35], timestep  903
2024-08-18 16:30:41.036316: Remain 1850 Samples, max category conditions [35], timestep  902
2024-08-18 16:30:41.121959: Remain 1850 Samples, max category conditions [35], timestep  901
2024-08-18 16:30:41.207535: Remain 1850 Samples, max category conditions [35], timestep  900
2024-08-18 16:30:41.293117: Remain 1850 Samples, max category conditions [35], timestep  899
2024-08-18 16:30:41.379205: Remain 1850 Samples, max category conditions [35], timestep  898
2024-08-18 16:30:41.463745: Remain 1850 Samples, max category conditions [35], timestep  897
2024-08-18 16:30:41.549383: Remain 1850 Samples, max category conditions [35], timestep  896
2024-08-18 16:30:41.635004: Remain 1850 Samples, max category conditions [35], timestep  895
2024-08-18 16:30:41.720604: Remain 1850 Samples, max category conditions [35], timestep  894
2024-08-18 16:30:41.806208: Remain 1850 Samples, max category conditions [35], timestep  893
2024-08-18 16:30:41.891875: Remain 1850 Samples, max category conditions [35], timestep  892
2024-08-18 16:30:41.977420: Remain 1850 Samples, max category conditions [35], timestep  891
2024-08-18 16:30:42.062964: Remain 1850 Samples, max category conditions [35], timestep  890
2024-08-18 16:30:42.148605: Remain 1850 Samples, max category conditions [35], timestep  889
2024-08-18 16:30:42.236196: Remain 1850 Samples, max category conditions [35], timestep  888
2024-08-18 16:30:42.322798: Remain 1850 Samples, max category conditions [35], timestep  887
2024-08-18 16:30:42.408398: Remain 1850 Samples, max category conditions [35], timestep  886
2024-08-18 16:30:42.494979: Remain 1850 Samples, max category conditions [35], timestep  885
2024-08-18 16:30:42.580022: Remain 1850 Samples, max category conditions [35], timestep  884
2024-08-18 16:30:42.665580: Remain 1850 Samples, max category conditions [35], timestep  883
2024-08-18 16:30:42.751158: Remain 1850 Samples, max category conditions [35], timestep  882
2024-08-18 16:30:42.837798: Remain 1850 Samples, max category conditions [35], timestep  881
2024-08-18 16:30:42.923374: Remain 1850 Samples, max category conditions [35], timestep  880
2024-08-18 16:30:43.008919: Remain 1850 Samples, max category conditions [35], timestep  879
2024-08-18 16:30:43.093563: Remain 1850 Samples, max category conditions [35], timestep  878
2024-08-18 16:30:43.179596: Remain 1850 Samples, max category conditions [35], timestep  877
2024-08-18 16:30:43.264892: Remain 1850 Samples, max category conditions [35], timestep  876
2024-08-18 16:30:43.350500: Remain 1850 Samples, max category conditions [35], timestep  875
2024-08-18 16:30:43.437107: Remain 1850 Samples, max category conditions [35], timestep  874
2024-08-18 16:30:43.523508: Remain 1850 Samples, max category conditions [35], timestep  873
2024-08-18 16:30:43.609146: Remain 1850 Samples, max category conditions [35], timestep  872
2024-08-18 16:30:43.694619: Remain 1850 Samples, max category conditions [35], timestep  871
2024-08-18 16:30:43.779686: Remain 1850 Samples, max category conditions [35], timestep  870
2024-08-18 16:30:43.866270: Remain 1850 Samples, max category conditions [35], timestep  869
2024-08-18 16:30:43.951877: Remain 1850 Samples, max category conditions [35], timestep  868
2024-08-18 16:30:44.037486: Remain 1850 Samples, max category conditions [35], timestep  867
2024-08-18 16:30:44.122093: Remain 1850 Samples, max category conditions [35], timestep  866
2024-08-18 16:30:44.208232: Remain 1850 Samples, max category conditions [35], timestep  865
2024-08-18 16:30:44.293849: Remain 1850 Samples, max category conditions [35], timestep  864
2024-08-18 16:30:44.379887: Remain 1850 Samples, max category conditions [35], timestep  863
2024-08-18 16:30:44.466425: Remain 1850 Samples, max category conditions [35], timestep  862
2024-08-18 16:30:44.552060: Remain 1850 Samples, max category conditions [35], timestep  861
2024-08-18 16:30:44.638641: Remain 1850 Samples, max category conditions [35], timestep  860
2024-08-18 16:30:44.724292: Remain 1850 Samples, max category conditions [35], timestep  859
2024-08-18 16:30:44.809896: Remain 1850 Samples, max category conditions [35], timestep  858
2024-08-18 16:30:44.897519: Remain 1850 Samples, max category conditions [35], timestep  857
2024-08-18 16:30:44.983521: Remain 1850 Samples, max category conditions [35], timestep  856
2024-08-18 16:30:45.070124: Remain 1850 Samples, max category conditions [35], timestep  855
2024-08-18 16:30:45.155733: Remain 1850 Samples, max category conditions [35], timestep  854
2024-08-18 16:30:45.241341: Remain 1850 Samples, max category conditions [35], timestep  853
2024-08-18 16:30:45.326703: Remain 1850 Samples, max category conditions [35], timestep  852
2024-08-18 16:30:45.412311: Remain 1850 Samples, max category conditions [35], timestep  851
2024-08-18 16:30:45.497925: Remain 1850 Samples, max category conditions [35], timestep  850
2024-08-18 16:30:45.583922: Remain 1850 Samples, max category conditions [35], timestep  849
2024-08-18 16:30:45.670495: Remain 1850 Samples, max category conditions [35], timestep  848
2024-08-18 16:30:45.758005: Remain 1850 Samples, max category conditions [35], timestep  847
2024-08-18 16:30:45.843617: Remain 1850 Samples, max category conditions [35], timestep  846
2024-08-18 16:30:45.929123: Remain 1850 Samples, max category conditions [35], timestep  845
2024-08-18 16:30:46.016701: Remain 1850 Samples, max category conditions [35], timestep  844
2024-08-18 16:30:46.103344: Remain 1850 Samples, max category conditions [35], timestep  843
2024-08-18 16:30:46.188378: Remain 1850 Samples, max category conditions [35], timestep  842
2024-08-18 16:30:46.273956: Remain 1850 Samples, max category conditions [35], timestep  841
2024-08-18 16:30:46.359569: Remain 1850 Samples, max category conditions [35], timestep  840
2024-08-18 16:30:46.445178: Remain 1850 Samples, max category conditions [35], timestep  839
2024-08-18 16:30:46.530792: Remain 1850 Samples, max category conditions [35], timestep  838
2024-08-18 16:30:46.616372: Remain 1850 Samples, max category conditions [35], timestep  837
2024-08-18 16:30:46.703020: Remain 1850 Samples, max category conditions [35], timestep  836
2024-08-18 16:30:46.788025: Remain 1850 Samples, max category conditions [35], timestep  835
2024-08-18 16:30:46.873561: Remain 1850 Samples, max category conditions [35], timestep  834
2024-08-18 16:30:46.959169: Remain 1850 Samples, max category conditions [35], timestep  833
2024-08-18 16:30:47.044775: Remain 1850 Samples, max category conditions [35], timestep  832
2024-08-18 16:30:47.130378: Remain 1850 Samples, max category conditions [35], timestep  831
2024-08-18 16:30:47.215990: Remain 1850 Samples, max category conditions [35], timestep  830
2024-08-18 16:30:47.303611: Remain 1850 Samples, max category conditions [35], timestep  829
2024-08-18 16:30:47.388582: Remain 1850 Samples, max category conditions [35], timestep  828
2024-08-18 16:30:47.474187: Remain 1850 Samples, max category conditions [35], timestep  827
2024-08-18 16:30:47.559793: Remain 1850 Samples, max category conditions [35], timestep  826
2024-08-18 16:30:47.645405: Remain 1850 Samples, max category conditions [35], timestep  825
2024-08-18 16:30:47.731955: Remain 1850 Samples, max category conditions [35], timestep  824
2024-08-18 16:30:47.818526: Remain 1850 Samples, max category conditions [35], timestep  823
2024-08-18 16:30:47.904139: Remain 1850 Samples, max category conditions [35], timestep  822
2024-08-18 16:30:47.990173: Remain 1850 Samples, max category conditions [35], timestep  821
2024-08-18 16:30:48.075745: Remain 1850 Samples, max category conditions [35], timestep  820
2024-08-18 16:30:48.161350: Remain 1850 Samples, max category conditions [35], timestep  819
2024-08-18 16:30:48.246957: Remain 1850 Samples, max category conditions [35], timestep  818
2024-08-18 16:30:48.332571: Remain 1850 Samples, max category conditions [35], timestep  817
2024-08-18 16:30:48.419148: Remain 1850 Samples, max category conditions [35], timestep  816
2024-08-18 16:30:48.504727: Remain 1850 Samples, max category conditions [35], timestep  815
2024-08-18 16:30:48.589731: Remain 1850 Samples, max category conditions [35], timestep  814
2024-08-18 16:30:48.676333: Remain 1850 Samples, max category conditions [35], timestep  813
2024-08-18 16:30:48.760942: Remain 1850 Samples, max category conditions [35], timestep  812
2024-08-18 16:30:48.850019: Remain 1850 Samples, max category conditions [35], timestep  811
2024-08-18 16:30:48.935629: Remain 1850 Samples, max category conditions [35], timestep  810
2024-08-18 16:30:49.022278: Remain 1850 Samples, max category conditions [35], timestep  809
2024-08-18 16:30:49.106886: Remain 1850 Samples, max category conditions [35], timestep  808
2024-08-18 16:30:49.191929: Remain 1850 Samples, max category conditions [35], timestep  807
2024-08-18 16:30:49.278469: Remain 1850 Samples, max category conditions [35], timestep  806
2024-08-18 16:30:49.364077: Remain 1850 Samples, max category conditions [35], timestep  805
2024-08-18 16:30:49.450687: Remain 1850 Samples, max category conditions [35], timestep  804
2024-08-18 16:30:49.536301: Remain 1850 Samples, max category conditions [35], timestep  803
2024-08-18 16:30:49.621914: Remain 1850 Samples, max category conditions [35], timestep  802
2024-08-18 16:30:49.707517: Remain 1850 Samples, max category conditions [35], timestep  801
2024-08-18 16:30:49.793568: Remain 1850 Samples, max category conditions [35], timestep  800
2024-08-18 16:30:49.879121: Remain 1850 Samples, max category conditions [35], timestep  799
2024-08-18 16:30:49.964734: Remain 1850 Samples, max category conditions [35], timestep  798
2024-08-18 16:30:50.049881: Remain 1850 Samples, max category conditions [35], timestep  797
2024-08-18 16:30:50.136516: Remain 1850 Samples, max category conditions [35], timestep  796
2024-08-18 16:30:50.224130: Remain 1850 Samples, max category conditions [35], timestep  795
2024-08-18 16:30:50.309672: Remain 1850 Samples, max category conditions [35], timestep  794
2024-08-18 16:30:50.395710: Remain 1850 Samples, max category conditions [35], timestep  793
2024-08-18 16:30:50.481280: Remain 1850 Samples, max category conditions [35], timestep  792
2024-08-18 16:30:50.566856: Remain 1850 Samples, max category conditions [35], timestep  791
2024-08-18 16:30:50.653429: Remain 1850 Samples, max category conditions [35], timestep  790
2024-08-18 16:30:50.740065: Remain 1850 Samples, max category conditions [35], timestep  789
2024-08-18 16:30:50.825650: Remain 1850 Samples, max category conditions [35], timestep  788
2024-08-18 16:30:50.911257: Remain 1850 Samples, max category conditions [35], timestep  787
2024-08-18 16:30:50.997268: Remain 1850 Samples, max category conditions [35], timestep  786
2024-08-18 16:30:51.081831: Remain 1850 Samples, max category conditions [35], timestep  785
2024-08-18 16:30:51.168447: Remain 1850 Samples, max category conditions [35], timestep  784
2024-08-18 16:30:51.253956: Remain 1850 Samples, max category conditions [35], timestep  783
2024-08-18 16:30:51.340533: Remain 1850 Samples, max category conditions [35], timestep  782
2024-08-18 16:30:51.427036: Remain 1850 Samples, max category conditions [35], timestep  781
2024-08-18 16:30:51.512640: Remain 1850 Samples, max category conditions [35], timestep  780
2024-08-18 16:30:51.598601: Remain 1850 Samples, max category conditions [35], timestep  779
2024-08-18 16:30:51.685116: Remain 1850 Samples, max category conditions [35], timestep  778
2024-08-18 16:30:51.770716: Remain 1850 Samples, max category conditions [35], timestep  777
2024-08-18 16:30:51.855326: Remain 1850 Samples, max category conditions [35], timestep  776
2024-08-18 16:30:51.940937: Remain 1850 Samples, max category conditions [35], timestep  775
2024-08-18 16:30:52.026544: Remain 1850 Samples, max category conditions [35], timestep  774
2024-08-18 16:30:52.112155: Remain 1850 Samples, max category conditions [35], timestep  773
2024-08-18 16:30:52.197194: Remain 1850 Samples, max category conditions [35], timestep  772
2024-08-18 16:30:52.283304: Remain 1850 Samples, max category conditions [35], timestep  771
2024-08-18 16:30:52.369706: Remain 1850 Samples, max category conditions [35], timestep  770
2024-08-18 16:30:52.455342: Remain 1850 Samples, max category conditions [35], timestep  769
2024-08-18 16:30:52.542691: Remain 1850 Samples, max category conditions [35], timestep  768
2024-08-18 16:30:52.630303: Remain 1850 Samples, max category conditions [35], timestep  767
2024-08-18 16:30:52.715746: Remain 1850 Samples, max category conditions [35], timestep  766
2024-08-18 16:30:52.801294: Remain 1850 Samples, max category conditions [35], timestep  765
2024-08-18 16:30:52.887296: Remain 1850 Samples, max category conditions [35], timestep  764
2024-08-18 16:30:52.971663: Remain 1850 Samples, max category conditions [35], timestep  763
2024-08-18 16:30:53.057807: Remain 1850 Samples, max category conditions [35], timestep  762
2024-08-18 16:30:53.142389: Remain 1850 Samples, max category conditions [35], timestep  761
2024-08-18 16:30:53.228990: Remain 1850 Samples, max category conditions [35], timestep  760
2024-08-18 16:30:53.313572: Remain 1850 Samples, max category conditions [35], timestep  759
2024-08-18 16:30:53.399180: Remain 1850 Samples, max category conditions [35], timestep  758
2024-08-18 16:30:53.484734: Remain 1850 Samples, max category conditions [35], timestep  757
2024-08-18 16:30:53.570313: Remain 1850 Samples, max category conditions [35], timestep  756
2024-08-18 16:30:53.656939: Remain 1850 Samples, max category conditions [35], timestep  755
2024-08-18 16:30:53.743499: Remain 1850 Samples, max category conditions [35], timestep  754
2024-08-18 16:30:53.828652: Remain 1850 Samples, max category conditions [35], timestep  753
2024-08-18 16:30:53.913876: Remain 1850 Samples, max category conditions [35], timestep  752
2024-08-18 16:30:54.003457: Remain 1850 Samples, max category conditions [35], timestep  751
2024-08-18 16:30:54.088492: Remain 1850 Samples, max category conditions [35], timestep  750
2024-08-18 16:30:54.174083: Remain 1850 Samples, max category conditions [35], timestep  749
2024-08-18 16:30:54.259690: Remain 1850 Samples, max category conditions [35], timestep  748
2024-08-18 16:30:54.345284: Remain 1850 Samples, max category conditions [35], timestep  747
2024-08-18 16:30:54.430889: Remain 1850 Samples, max category conditions [35], timestep  746
2024-08-18 16:30:54.516436: Remain 1850 Samples, max category conditions [35], timestep  745
2024-08-18 16:30:54.602039: Remain 1850 Samples, max category conditions [35], timestep  744
2024-08-18 16:30:54.687046: Remain 1850 Samples, max category conditions [35], timestep  743
2024-08-18 16:30:54.773586: Remain 1850 Samples, max category conditions [35], timestep  742
2024-08-18 16:30:54.858889: Remain 1850 Samples, max category conditions [35], timestep  741
2024-08-18 16:30:54.944225: Remain 1850 Samples, max category conditions [35], timestep  740
2024-08-18 16:30:55.029807: Remain 1850 Samples, max category conditions [35], timestep  739
2024-08-18 16:30:55.115039: Remain 1850 Samples, max category conditions [35], timestep  738
2024-08-18 16:30:55.201073: Remain 1850 Samples, max category conditions [35], timestep  737
2024-08-18 16:30:55.286616: Remain 1850 Samples, max category conditions [35], timestep  736
2024-08-18 16:30:55.374189: Remain 1850 Samples, max category conditions [35], timestep  735
2024-08-18 16:30:55.460474: Remain 1850 Samples, max category conditions [35], timestep  734
2024-08-18 16:30:55.546084: Remain 1850 Samples, max category conditions [35], timestep  733
2024-08-18 16:30:55.631690: Remain 1850 Samples, max category conditions [35], timestep  732
2024-08-18 16:30:55.718270: Remain 1850 Samples, max category conditions [35], timestep  731
2024-08-18 16:30:55.804902: Remain 1850 Samples, max category conditions [35], timestep  730
2024-08-18 16:30:55.891941: Remain 1850 Samples, max category conditions [35], timestep  729
2024-08-18 16:30:55.977516: Remain 1850 Samples, max category conditions [35], timestep  728
2024-08-18 16:30:56.063061: Remain 1850 Samples, max category conditions [35], timestep  727
2024-08-18 16:30:56.148701: Remain 1850 Samples, max category conditions [35], timestep  726
2024-08-18 16:30:56.235248: Remain 1850 Samples, max category conditions [35], timestep  725
2024-08-18 16:30:56.320895: Remain 1850 Samples, max category conditions [35], timestep  724
2024-08-18 16:30:56.405370: Remain 1850 Samples, max category conditions [35], timestep  723
2024-08-18 16:30:56.491446: Remain 1850 Samples, max category conditions [35], timestep  722
2024-08-18 16:30:56.577010: Remain 1850 Samples, max category conditions [35], timestep  721
2024-08-18 16:30:56.663618: Remain 1850 Samples, max category conditions [35], timestep  720
2024-08-18 16:30:56.748971: Remain 1850 Samples, max category conditions [35], timestep  719
2024-08-18 16:30:56.834151: Remain 1850 Samples, max category conditions [35], timestep  718
2024-08-18 16:30:56.921695: Remain 1850 Samples, max category conditions [35], timestep  717
2024-08-18 16:30:57.009308: Remain 1850 Samples, max category conditions [35], timestep  716
2024-08-18 16:30:57.095348: Remain 1850 Samples, max category conditions [35], timestep  715
2024-08-18 16:30:57.179915: Remain 1850 Samples, max category conditions [35], timestep  714
2024-08-18 16:30:57.265528: Remain 1850 Samples, max category conditions [35], timestep  713
2024-08-18 16:30:57.351133: Remain 1850 Samples, max category conditions [35], timestep  712
2024-08-18 16:30:57.437747: Remain 1850 Samples, max category conditions [35], timestep  711
2024-08-18 16:30:57.523326: Remain 1850 Samples, max category conditions [35], timestep  710
2024-08-18 16:30:57.608939: Remain 1850 Samples, max category conditions [35], timestep  709
2024-08-18 16:30:57.693905: Remain 1850 Samples, max category conditions [35], timestep  708
2024-08-18 16:30:57.779516: Remain 1850 Samples, max category conditions [35], timestep  707
2024-08-18 16:30:57.865125: Remain 1850 Samples, max category conditions [35], timestep  706
2024-08-18 16:30:57.950734: Remain 1850 Samples, max category conditions [35], timestep  705
2024-08-18 16:30:58.037339: Remain 1850 Samples, max category conditions [35], timestep  704
2024-08-18 16:30:58.122949: Remain 1850 Samples, max category conditions [35], timestep  703
2024-08-18 16:30:58.212557: Remain 1850 Samples, max category conditions [35], timestep  702
2024-08-18 16:30:58.298594: Remain 1850 Samples, max category conditions [35], timestep  701
2024-08-18 16:30:58.384135: Remain 1850 Samples, max category conditions [35], timestep  700
2024-08-18 16:30:58.469773: Remain 1850 Samples, max category conditions [35], timestep  699
2024-08-18 16:30:58.555381: Remain 1850 Samples, max category conditions [35], timestep  698
2024-08-18 16:30:58.640989: Remain 1850 Samples, max category conditions [35], timestep  697
2024-08-18 16:30:58.726598: Remain 1850 Samples, max category conditions [35], timestep  696
2024-08-18 16:30:58.812213: Remain 1850 Samples, max category conditions [35], timestep  695
2024-08-18 16:30:58.898249: Remain 1850 Samples, max category conditions [35], timestep  694
2024-08-18 16:30:58.983821: Remain 1850 Samples, max category conditions [35], timestep  693
2024-08-18 16:30:59.069010: Remain 1850 Samples, max category conditions [35], timestep  692
2024-08-18 16:30:59.155614: Remain 1850 Samples, max category conditions [35], timestep  691
2024-08-18 16:30:59.242159: Remain 1850 Samples, max category conditions [35], timestep  690
2024-08-18 16:30:59.328793: Remain 1850 Samples, max category conditions [35], timestep  689
2024-08-18 16:30:59.416311: Remain 1850 Samples, max category conditions [35], timestep  688
2024-08-18 16:30:59.502383: Remain 1850 Samples, max category conditions [35], timestep  687
2024-08-18 16:30:59.586951: Remain 1850 Samples, max category conditions [35], timestep  686
2024-08-18 16:30:59.672528: Remain 1850 Samples, max category conditions [35], timestep  685
2024-08-18 16:30:59.758167: Remain 1850 Samples, max category conditions [35], timestep  684
2024-08-18 16:30:59.843750: Remain 1850 Samples, max category conditions [35], timestep  683
2024-08-18 16:30:59.929359: Remain 1850 Samples, max category conditions [35], timestep  682
2024-08-18 16:31:00.014971: Remain 1850 Samples, max category conditions [35], timestep  681
2024-08-18 16:31:00.100968: Remain 1850 Samples, max category conditions [35], timestep  680
2024-08-18 16:31:00.187540: Remain 1850 Samples, max category conditions [35], timestep  679
2024-08-18 16:31:00.272687: Remain 1850 Samples, max category conditions [35], timestep  678
2024-08-18 16:31:00.360293: Remain 1850 Samples, max category conditions [35], timestep  677
2024-08-18 16:31:00.446852: Remain 1850 Samples, max category conditions [35], timestep  676
2024-08-18 16:31:00.533335: Remain 1850 Samples, max category conditions [35], timestep  675
2024-08-18 16:31:00.621516: Remain 1850 Samples, max category conditions [35], timestep  674
2024-08-18 16:31:00.708083: Remain 1850 Samples, max category conditions [35], timestep  673
2024-08-18 16:31:00.795154: Remain 1850 Samples, max category conditions [35], timestep  672
2024-08-18 16:31:00.882724: Remain 1850 Samples, max category conditions [35], timestep  671
2024-08-18 16:31:00.968344: Remain 1850 Samples, max category conditions [35], timestep  670
2024-08-18 16:31:01.053949: Remain 1850 Samples, max category conditions [35], timestep  669
2024-08-18 16:31:01.139456: Remain 1850 Samples, max category conditions [35], timestep  668
2024-08-18 16:31:01.226063: Remain 1850 Samples, max category conditions [35], timestep  667
2024-08-18 16:31:01.311668: Remain 1850 Samples, max category conditions [35], timestep  666
2024-08-18 16:31:01.396702: Remain 1850 Samples, max category conditions [35], timestep  665
2024-08-18 16:31:01.483248: Remain 1850 Samples, max category conditions [35], timestep  664
2024-08-18 16:31:01.569893: Remain 1850 Samples, max category conditions [35], timestep  663
2024-08-18 16:31:01.655499: Remain 1850 Samples, max category conditions [35], timestep  662
2024-08-18 16:31:01.742023: Remain 1850 Samples, max category conditions [35], timestep  661
